component_number,component,explained_variance_ratio,cumulative_explained_variance
1,PC1,0.507382210350133,0.507382210350133
2,PC2,0.062391857751965166,0.5697740681020982
3,PC3,0.02692563862707259,0.5966997067291708
4,PC4,0.024528709674849,0.6212284164040198
5,PC5,0.018889356574165853,0.6401177729781857
6,PC6,0.016313954036245675,0.6564317270144314
7,PC7,0.014145332364692741,0.6705770593791242
8,PC8,0.012162106150970228,0.6827391655300944
9,PC9,0.009852475637666926,0.6925916411677613
10,PC10,0.009492281932067002,0.7020839230998283
11,PC11,0.00858303631237003,0.7106669594121983
12,PC12,0.008099799084937936,0.7187667584971362
13,PC13,0.007658626696475738,0.726425385193612
14,PC14,0.006766676168486707,0.7331920613620987
15,PC15,0.006302416178069032,0.7394944775401677
16,PC16,0.006157177330209035,0.7456516548703768
17,PC17,0.005953349553272318,0.7516050044236491
18,PC18,0.005771954942009561,0.7573769593656586
19,PC19,0.0056343128739617795,0.7630112722396204
20,PC20,0.005408298539982392,0.7684195707796028
21,PC21,0.005188278704203171,0.7736078494838059
22,PC22,0.005027416657857086,0.778635266141663
23,PC23,0.004732294781761853,0.7833675609234249
24,PC24,0.00463818461516295,0.7880057455385878
25,PC25,0.004468484175711089,0.7924742297142989
26,PC26,0.004398682645995535,0.7968729123602944
27,PC27,0.00416863052861897,0.8010415428889134
28,PC28,0.00400808601757227,0.8050496289064857
29,PC29,0.003890718919090888,0.8089403478255766
30,PC30,0.0038133857349290034,0.8127537335605055
31,PC31,0.003668697370731745,0.8164224309312372
32,PC32,0.0036435743920927204,0.82006600532333
33,PC33,0.003492245219209869,0.8235582505425398
34,PC34,0.0034673606847089268,0.8270256112272487
35,PC35,0.0033553890974450506,0.8303810003246938
36,PC36,0.0032941051632750778,0.8336751054879689
37,PC37,0.0032382435010125106,0.8369133489889814
38,PC38,0.0030050815643812654,0.8399184305533627
39,PC39,0.002942539733610002,0.8428609702869727
40,PC40,0.0029045246457981163,0.8457654949327709
41,PC41,0.0027576499550306713,0.8485231448878016
42,PC42,0.0026986410431348493,0.8512217859309364
43,PC43,0.0026419573467742516,0.8538637432777108
44,PC44,0.0025803026933825953,0.8564440459710934
45,PC45,0.0025503082402659784,0.8589943542113594
46,PC46,0.002477758219813641,0.861472112431173
47,PC47,0.0024553749357077654,0.8639274873668809
48,PC48,0.002382903532885243,0.8663103908997661
49,PC49,0.0023590195159740993,0.8686694104157402
50,PC50,0.0023204368370769294,0.8709898472528171
51,PC51,0.0022836030725069028,0.873273450325324
52,PC52,0.0021918166304259524,0.87546526695575
53,PC53,0.002126313668554502,0.8775915806243045
54,PC54,0.0020914456241957658,0.8796830262485003
55,PC55,0.0020347965837465426,0.8817178228322468
56,PC56,0.0020116671481185126,0.8837294899803653
57,PC57,0.001981107524190867,0.8857105975045562
58,PC58,0.001943913282192286,0.8876545107867484
59,PC59,0.0019250913515137264,0.8895796021382621
60,PC60,0.0018953899407726119,0.8914749920790348
61,PC61,0.001864032428280111,0.893339024507315
62,PC62,0.0018292276333079615,0.8951682521406229
63,PC63,0.0018095647597663011,0.8969778169003892
64,PC64,0.0017636393449315469,0.8987414562453208
65,PC65,0.0017418784369721916,0.9004833346822929
66,PC66,0.0017147086475723839,0.9021980433298653
67,PC67,0.0017104069298292713,0.9039084502596946
68,PC68,0.0016745257574545642,0.9055829760171491
69,PC69,0.001637032835462736,0.9072200088526118
70,PC70,0.0016144635288895222,0.9088344723815013
71,PC71,0.0016029253056977274,0.910437397687199
72,PC72,0.0015659053475128005,0.9120033030347118
73,PC73,0.0015023331714573438,0.9135056362061691
74,PC74,0.0014880255286354746,0.9149936617348046
75,PC75,0.0014860200668995772,0.9164796818017041
76,PC76,0.0014498887648241071,0.9179295705665282
77,PC77,0.0014441456778699865,0.9193737162443982
78,PC78,0.0014214194130959467,0.9207951356574942
79,PC79,0.0014082994126850834,0.9222034350701792
80,PC80,0.0013712345987966776,0.9235746696689758
81,PC81,0.0013334865739376316,0.9249081562429134
82,PC82,0.0013286794953395326,0.926236835738253
83,PC83,0.0013115026758808294,0.9275483384141339
84,PC84,0.0012844916099612913,0.9288328300240951
