activity_label,sample_count,mean_pc1,mean_pc2,scenario
LAYING,1944,-14.56360539493173,2.1341068966269185,Full dataset
SITTING,1777,-14.230022523845463,0.8300079037104396,Full dataset
STANDING,1906,-13.626719688661057,-0.19166966444058903,Full dataset
WALKING,1722,15.817736403311063,1.2368466947732202,Full dataset
WALKING_DOWNSTAIRS,1406,23.324373285425835,2.125936780477929,Full dataset
WALKING_UPSTAIRS,1544,12.654608622667276,-6.72099908890147,Full dataset
LAYING,80,-16.689551210831873,0.21746837284009804,First 500 rows
SITTING,73,-17.55943431400497,0.466533463489189,First 500 rows
STANDING,84,-17.182271132658485,1.1102378215625153,First 500 rows
WALKING,126,16.065423986235512,2.304193308270415,First 500 rows
WALKING_DOWNSTAIRS,72,21.307457577403035,3.5569306304245125,First 500 rows
WALKING_UPSTAIRS,65,7.722049370669722,-10.63295002932011,First 500 rows
LAYING,104,-14.09482448952173,0.2313775147812887,Random 500 rows
SITTING,98,-14.822560463873106,1.9419290810992627,Random 500 rows
STANDING,69,-13.746351865869538,0.012626524412196657,Random 500 rows
WALKING,99,16.10870022129906,1.5927920290283057,Random 500 rows
WALKING_DOWNSTAIRS,61,22.656571884864974,2.087950655953721,Random 500 rows
WALKING_UPSTAIRS,69,12.900851365644245,-7.250651341397138,Random 500 rows
